id,car_id,drAirBag,psAirBag,sideAirBag,sideHeadAirBag,rearSideAB,vehAlarm,abs4,rearDefrost,chSafetyLocks,dayRunLights,tracControl,antiTheft,turnSigMirrors,parkAssist,trunkRelease,frTowHooks,tpms,bluetooth,telematics,rearCamera,stabilityCtrl,rearBAirBag,alarmSys,rearSpoiler
50,20982361,std,std,std,std,std,std,std,std,std,opt,std,std,std,std,opt,n/a,std,std,std,std,std,opt,n/a,opt
51,20914828,std,std,std,opt,opt,std,n/a,std,std,n/a,opt,std,std,std,n/a,opt,n/a,opt,n/a,std,std,n/a,opt,std
52,20847295,std,std,std,std,std,std,std,std,std,std,std,std,opt,std,std,std,opt,std,std,opt,std,std,std,opt
53,20779763,std,std,n/a,std,std,n/a,std,std,std,std,opt,n/a,n/a,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,std
54,20712230,opt,std,std,n/a,std,opt,std,n/a,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,opt
55,20644698,std,opt,std,n/a,std,std,opt,n/a,std,std,std,opt,opt,opt,std,std,std,std,n/a,opt,opt,std,std,opt
56,20577165,std,std,n/a,n/a,std,std,std,std,n/a,opt,std,std,std,std,opt,std,opt,std,std,std,std,opt,std,opt
57,20509632,std,std,std,opt,n/a,opt,std,std,std,std,n/a,opt,opt,std,n/a,opt,std,std,std,opt,std,n/a,opt,opt
58,20442100,std,std,std,std,n/a,std,std,std,std,opt,opt,std,opt,std,std,std,n/a,opt,opt,opt,std,std,std,std
59,20374567,opt,std,std,std,opt,n/a,std,n/a,opt,std,std,std,std,n/a,std,n/a,opt,std,std,std,n/a,std,n/a,std
60,20307035,std,opt,std,opt,opt,std,n/a,std,std,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,opt
61,20239502,std,std,std,std,std,std,std,opt,std,n/a,opt,n/a,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,std
62,20171969,std,std,std,std,std,std,std,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,opt
63,20104437,std,opt,n/a,n/a,opt,opt,std,opt,std,n/a,std,opt,std,std,std,n/a,std,std,n/a,std,std,std,n/a,opt
64,20036904,std,std,std,std,std,std,std,std,std,std,opt,std,n/a,opt,std,std,opt,n/a,std,n/a,opt,std,std,std
65,19969372,std,std,std,std,std,std,opt,n/a,n/a,std,opt,opt,std,std,std,std,n/a,std,std,std,std,std,std,opt
66,19901839,std,std,std,std,opt,std,opt,std,n/a,std,std,std,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,opt
67,19834306,std,std,std,std,std,std,std,std,std,std,std,opt,n/a,std,std,std,n/a,std,std,n/a,std,std,std,std
68,19766774,std,opt,n/a,std,opt,std,std,n/a,std,opt,n/a,std,std,std,std,opt,std,std,n/a,std,std,std,opt,std
69,19699241,std,std,std,std,n/a,std,opt,std,n/a,opt,std,opt,n/a,opt,std,std,opt,std,n/a,n/a,opt,std,std,opt
70,19631709,std,std,std,std,n/a,n/a,std,std,std,std,std,std,std,std,std,std,opt,opt,std,std,std,std,std,opt
71,19564176,opt,std,std,n/a,std,opt,std,std,std,std,std,std,n/a,opt,opt,n/a,std,std,opt,n/a,opt,opt,n/a,std
72,19496643,std,std,std,std,opt,n/a,opt,opt,std,opt,opt,std,std,n/a,std,std,std,opt,opt,std,n/a,std,std,std
73,19429111,std,std,opt,opt,opt,n/a,opt,opt,std,n/a,std,std,std,opt,std,opt,std,opt,std,std,opt,std,opt,opt
74,19361578,std,opt,n/a,std,std,std,std,std,std,std,std,n/a,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,opt
75,19294046,std,std,n/a,std,n/a,std,std,std,std,std,opt,std,n/a,std,std,opt,opt,n/a,std,n/a,std,std,opt,std
76,19226513,opt,std,std,n/a,std,std,std,opt,opt,std,std,std,std,std,opt,n/a,std,std,std,std,std,opt,n/a,opt
77,19158980,std,std,std,n/a,std,std,std,std,std,std,std,std,std,std,n/a,opt,n/a,opt,n/a,std,std,n/a,opt,std
78,19091448,std,opt,n/a,opt,std,std,std,std,opt,std,std,opt,opt,std,std,std,opt,std,std,opt,std,std,std,opt
79,19023915,std,std,std,std,std,std,std,opt,std,std,opt,std,n/a,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,opt
80,18956383,std,std,opt,n/a,std,std,std,std,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,opt
81,18888850,std,std,std,std,std,opt,std,opt,std,std,opt,std,opt,opt,std,std,std,std,n/a,opt,opt,std,std,opt
82,18821317,std,std,std,std,opt,std,std,std,opt,n/a,opt,opt,std,std,opt,std,opt,std,std,std,std,opt,std,std
83,18753785,opt,opt,std,std,std,n/a,std,std,n/a,std,std,std,opt,std,n/a,opt,std,std,std,opt,std,n/a,opt,std
84,18686252,std,std,std,std,std,n/a,std,std,std,std,opt,opt,opt,std,std,std,n/a,opt,opt,opt,std,std,std,opt
85,18618720,std,std,n/a,std,n/a,std,opt,std,std,std,std,n/a,std,n/a,std,n/a,opt,std,std,std,n/a,std,n/a,std
86,18551187,std,std,n/a,opt,std,std,std,n/a,n/a,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,opt
87,18483654,std,std,std,opt,opt,std,std,opt,std,opt,std,n/a,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,opt
88,18416122,opt,std,n/a,std,std,std,std,std,n/a,std,std,opt,std,std,std,std,std,std,std,std,std,std,std,std
89,18348589,std,opt,std,n/a,std,std,std,std,n/a,opt,std,std,std,std,std,n/a,std,std,n/a,std,std,std,n/a,opt
90,18281057,std,std,std,std,std,std,std,std,n/a,std,std,std,n/a,opt,std,std,opt,n/a,std,n/a,opt,std,std,opt
91,18213524,std,std,std,std,opt,opt,std,std,std,std,opt,std,std,std,std,std,n/a,std,std,std,std,std,std,std
92,18145991,std,std,opt,opt,n/a,std,std,std,std,std,std,n/a,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,std
93,18078459,std,std,std,opt,std,std,std,std,std,std,std,opt,n/a,std,std,std,n/a,std,std,n/a,std,std,std,opt
94,18010926,std,std,std,std,std,n/a,std,n/a,n/a,std,std,std,std,std,std,opt,std,std,n/a,std,std,std,opt,opt
95,17943394,opt,opt,std,std,std,opt,opt,std,opt,opt,n/a,n/a,n/a,opt,std,std,opt,std,n/a,n/a,opt,std,std,std
96,17875861,opt,opt,n/a,n/a,std,std,opt,opt,std,std,std,std,std,std,std,std,opt,opt,std,std,std,std,std,std
97,17808328,std,std,opt,std,opt,std,std,std,opt,opt,std,std,n/a,opt,opt,n/a,std,std,opt,n/a,opt,opt,n/a,opt
98,17740796,std,std,std,std,opt,std,std,std,std,opt,opt,opt,std,n/a,std,std,std,opt,opt,std,n/a,std,std,opt
99,17673263,std,opt,std,n/a,n/a,std,std,std,std,std,std,n/a,std,opt,std,opt,std,opt,std,std,opt,std,opt,std
100,17605731,opt,opt,std,std,std,std,n/a,n/a,n/a,std,std,std,std,n/a,n/a,std,std,opt,std,std,std,n/a,std,std
