id,car_id,cruiseCtrl,frFloorMats,heatMirrors,powerDrMirror,powerDrSeat,powerPasSeat,rearPassThru,powerSteering,adjSteerWheel,powerWindows,intWipers,stWheelCtrls,autoOffHdlight,autoDimRMirror,drVanityMirror,psVanityMirror,illumDriverVM,illumPassVM,mirrorMemory,parkAssist,seatMemory,rmTrunkOpen,uniGarageDoor,rmEngineStart,keylessStart,navSystem,varSpIntWipers,rainSenseWprs,wheelLocks
47,19564176,std,std,std,std,std,std,std,std,std,std,std,std,std,opt,n/a,n/a,opt,opt,n/a,n/a,n/a,opt,std,std,std,std,std,opt,std
48,19496643,n/a,std,std,std,std,std,std,std,std,std,std,std,std,opt,std,std,n/a,opt,std,std,std,n/a,std,opt,std,opt,std,std,std
49,19429111,std,std,std,std,n/a,std,n/a,n/a,std,std,n/a,std,std,std,std,std,n/a,std,std,std,n/a,std,std,std,std,std,std,std,std
50,19361578,std,std,std,n/a,std,std,std,n/a,opt,std,n/a,opt,std,std,opt,std,std,std,opt,std,std,std,std,std,std,std,opt,std,std
51,29390043,std,std,std,std,std,std,std,n/a,std,std,n/a,std,std,n/a,opt,n/a,opt,n/a,std,std,n/a,opt,std,std,opt,opt,std,std,opt
52,22645035,std,std,std,opt,opt,std,std,std,opt,opt,std,opt,opt,std,std,opt,std,std,opt,std,std,n/a,opt,std,opt,std,opt,n/a,opt
53,21982568,std,std,opt,std,opt,std,std,opt,std,opt,opt,std,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,std,opt,std,std,opt,opt,std
54,21725219,std,std,std,std,std,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
55,21657687,std,opt,opt,std,std,n/a,std,opt,std,std,opt,std,std,n/a,std,std,std,n/a,opt,opt,std,std,std,n/a,opt,opt,std,std,std
56,21590154,std,std,std,opt,std,std,std,std,opt,std,std,opt,std,std,std,opt,std,std,std,std,opt,opt,std,std,std,std,opt,opt,std
57,21522621,std,std,std,n/a,opt,opt,opt,std,n/a,opt,std,n/a,opt,std,opt,std,std,std,opt,std,n/a,opt,std,std,opt,opt,opt,opt,std
58,21455089,std,std,std,std,std,std,opt,std,std,std,std,std,std,opt,std,n/a,opt,opt,opt,std,std,std,n/a,std,std,std,n/a,std,n/a
59,21387556,std,std,n/a,std,n/a,std,std,n/a,std,n/a,n/a,std,n/a,std,n/a,opt,std,std,std,n/a,std,std,std,n/a,std,std,std,std,std
60,21320100,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,n/a,std,opt,std,n/a,std,n/a
61,20657633,std,std,n/a,n/a,std,opt,std,n/a,n/a,std,n/a,n/a,std,std,std,std,n/a,std,std,n/a,n/a,std,std,n/a,std,std,opt,std,std
62,19995166,std,std,std,std,std,n/a,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,n/a,opt,std,std,std,std
63,19294046,std,std,std,std,n/a,std,std,std,std,n/a,std,std,n/a,n/a,n/a,std,std,n/a,std,std,std,n/a,opt,n/a,std,std,std,n/a,opt
64,19226513,std,std,opt,std,std,std,n/a,opt,std,std,opt,std,std,std,std,opt,n/a,std,n/a,opt,std,std,std,std,std,opt,std,std,std
65,19158980,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,n/a,std,std,std,std,std,opt,n/a,std,std,std,n/a,opt,n/a
66,18479342,std,std,n/a,opt,n/a,n/a,std,n/a,opt,n/a,n/a,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,std,std,std,std,opt,n/a,std
67,14539816,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,n/a,std,std,n/a,std,std,std,std,n/a,std,std,std,std,std
68,10946793,std,std,std,std,opt,std,n/a,std,n/a,std,std,n/a,std,std,opt,std,std,n/a,std,std,std,n/a,opt,opt,opt,n/a,n/a,n/a,opt
69,29269707,std,std,opt,std,std,std,std,opt,std,std,opt,std,std,std,std,opt,std,n/a,n/a,opt,std,std,std,std,std,std,std,std,std
70,28607240,std,std,std,std,std,std,std,std,opt,std,std,opt,std,std,std,opt,opt,std,std,std,std,n/a,opt,opt,opt,std,std,n/a,opt
71,27944772,std,std,opt,opt,n/a,std,std,std,opt,opt,std,std,std,std,n/a,std,std,opt,n/a,opt,opt,n/a,opt,std,opt,std,opt,n/a,opt
72,21320024,std,std,n/a,std,std,std,std,n/a,std,std,opt,n/a,opt,opt,std,std,opt,opt,std,n/a,std,opt,std,opt,std,std,opt,opt,std
73,21252491,std,std,std,std,std,std,n/a,std,std,opt,opt,std,opt,std,opt,std,opt,opt,std,opt,std,opt,std,opt,opt,std,opt,std,opt
74,21184958,std,std,opt,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
75,21117426,std,opt,std,std,std,std,std,std,std,std,opt,std,std,n/a,std,std,std,opt,std,std,n/a,std,std,std,opt,std,std,n/a,std
76,21049893,n/a,std,std,std,std,std,std,std,opt,std,std,opt,std,std,std,opt,std,std,opt,std,std,std,opt,std,std,opt,std,std,std
77,19091448,std,std,std,n/a,std,n/a,n/a,std,n/a,opt,std,n/a,opt,std,opt,n/a,opt,std,n/a,opt,std,opt,n/a,opt,std,n/a,opt,std,opt
78,19023915,std,std,n/a,std,std,std,n/a,opt,std,std,std,std,std,opt,std,std,std,std,std,std,opt,std,std,std,std,std,std,opt,std
79,18956383,std,std,std,std,opt,n/a,opt,opt,std,n/a,n/a,std,n/a,std,n/a,std,n/a,n/a,std,n/a,std,n/a,std,n/a,n/a,std,n/a,std,n/a
80,18888850,std,std,std,opt,opt,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
81,18821317,std,opt,std,opt,std,std,opt,std,n/a,std,n/a,n/a,std,std,std,n/a,std,n/a,n/a,std,std,std,n/a,std,n/a,n/a,std,std,std
82,18753785,std,std,std,n/a,std,std,n/a,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
83,18686252,std,opt,opt,n/a,std,n/a,std,std,std,n/a,std,std,n/a,n/a,n/a,std,n/a,std,std,n/a,n/a,n/a,std,n/a,std,std,n/a,n/a,n/a
84,18618720,std,n/a,std,std,std,std,std,opt,std,std,opt,std,std,std,std,std,std,opt,std,std,std,std,std,std,opt,std,std,std,std
85,17740796,std,opt,n/a,opt,n/a,std,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
86,17673263,std,std,opt,std,std,opt,std,std,opt,n/a,n/a,opt,n/a,opt,n/a,opt,n/a,n/a,opt,n/a,opt,n/a,opt,n/a,n/a,opt,n/a,opt,n/a
87,17605731,std,opt,opt,n/a,std,n/a,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
88,13029678,n/a,std,std,std,std,std,std,std,n/a,std,std,n/a,std,std,opt,n/a,std,std,n/a,std,std,opt,n/a,std,std,n/a,std,std,opt
89,12689301,std,std,std,std,n/a,opt,opt,std,std,std,opt,std,std,std,std,std,std,opt,std,std,std,std,std,std,opt,std,std,std,std
90,29932174,std,std,opt,std,std,std,std,opt,opt,std,std,opt,std,std,std,opt,std,std,opt,std,std,std,opt,std,std,opt,std,std,std
91,26524596,std,opt,std,std,std,opt,std,n/a,opt,opt,std,std,std,std,n/a,opt,opt,std,std,std,std,n/a,opt,opt,std,std,std,std,n/a
92,20982361,std,std,n/a,opt,opt,opt,std,std,std,std,opt,n/a,opt,opt,std,std,std,opt,n/a,opt,opt,std,std,std,opt,n/a,opt,opt,std
93,20914828,std,n/a,opt,std,std,std,n/a,opt,std,std,opt,std,std,std,std,std,std,opt,std,std,opt,n/a,opt,n/a,n/a,opt,n/a,opt,n/a
94,20847295,std,std,std,opt,std,std,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
95,20779763,std,std,std,n/a,std,std,n/a,std,opt,n/a,n/a,opt,n/a,opt,n/a,opt,n/a,n/a,opt,n/a,std,opt,n/a,std,std,n/a,std,std,opt
96,20712230,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,opt,std,std,std,std
97,20644698,std,n/a,std,std,n/a,std,std,std,n/a,std,std,n/a,std,std,opt,n/a,std,std,n/a,std,std,std,opt,std,std,opt,std,std,std
98,20577165,std,std,opt,n/a,std,n/a,opt,std,std,std,opt,std,std,std,std,std,std,opt,std,std,std,n/a,opt,opt,std,std,std,std,n/a
99,19460395,std,std,n/a,std,std,std,std,opt,opt,std,std,opt,std,std,std,opt,std,std,opt,std,opt,std,std,std,opt,n/a,opt,opt,std
100,12068002,std,n/a,std,opt,opt,opt,n/a,n/a,opt,opt,std,std,std,std,n/a,opt,opt,std,std,std,opt,n/a,opt,n/a,n/a,opt,n/a,opt,n/a
