id,car_id,sideAirBag,rearBodyAirBag,alarmSystem,navSystem,perfTires,alumWheels,intWipers,woodIntTrim,rearSpoiler
55,20239502,opt,std,std,n/a,std,std,opt,opt,std
56,20307035,std,std,std,n/a,std,std,n/a,n/a,opt
57,20374567,opt,std,std,std,n/a,n/a,std,std,opt
58,20442100,std,std,std,std,std,opt,std,n/a,std
59,20509632,std,std,std,std,n/a,std,opt,std,std
60,12689301,std,opt,std,n/a,n/a,std,std,std,n/a
61,13029678,opt,std,n/a,opt,std,std,n/a,n/a,std
62,22197948,opt,std,std,std,std,opt,std,std,n/a
63,22265480,std,n/a,std,opt,std,std,std,opt,std
64,22333013,std,std,std,std,std,std,std,std,opt
65,22400545,std,n/a,n/a,std,std,std,opt,std,opt
66,22468078,std,std,std,opt,std,opt,std,n/a,std
67,22535611,std,std,std,std,opt,std,std,std,std
68,25294904,n/a,opt,std,opt,std,opt,std,opt,std
69,25957371,std,std,std,std,n/a,std,opt,std,std
70,26524596,opt,n/a,opt,std,std,std,n/a,std,std
71,26619838,n/a,std,std,std,std,std,std,std,std
72,21590154,std,std,std,std,std,n/a,opt,std,std
73,21657687,n/a,opt,std,n/a,std,std,std,n/a,std
74,21725219,std,std,std,std,opt,n/a,opt,std,opt
75,19460395,n/a,opt,opt,n/a,std,std,n/a,std,n/a
76,21792752,std,n/a,std,n/a,std,std,opt,n/a,std
77,21860285,std,opt,std,n/a,std,std,n/a,std,n/a
78,21927817,std,n/a,n/a,std,n/a,n/a,std,opt,std
79,21995350,n/a,std,std,std,std,opt,std,std,opt
80,22062882,std,opt,std,std,n/a,std,opt,std,opt
81,22130415,opt,std,std,n/a,n/a,std,std,n/a,std
82,10946793,std,n/a,opt,opt,std,std,n/a,std,std
83,12068002,std,std,std,std,std,opt,std,opt,std
84,14539816,std,std,std,opt,std,std,std,n/a,opt
85,18479342,opt,std,std,std,std,std,std,std,opt
86,19995166,std,std,std,std,std,std,opt,n/a,std
87,20657633,opt,std,std,opt,std,opt,std,std,std
88,21320100,std,std,std,std,opt,std,std,std,n/a
89,21982568,std,std,std,opt,std,opt,std,n/a,std
90,22645035,std,opt,std,std,n/a,std,opt,std,n/a
91,23307502,n/a,opt,std,std,std,std,n/a,opt,std
92,23969969,std,std,std,std,std,std,std,std,opt
93,24632436,n/a,opt,opt,n/a,std,std,opt,std,opt
94,29390043,std,n/a,std,n/a,std,std,n/a,n/a,std
95,27282305,std,opt,std,std,n/a,n/a,std,std,std
96,27944772,std,n/a,n/a,std,std,opt,std,opt,std
97,28607240,n/a,std,std,std,n/a,std,opt,std,std
98,29269707,std,opt,std,n/a,n/a,std,std,std,std
99,29678491,opt,std,std,opt,std,std,n/a,std,std
100,29932174,std,n/a,opt,std,std,opt,std,std,std
